0th epoch,    train_loss: 2.7919044494628906, val_loss: 5.36317253112793, train_acc: 0.13127240143369176, val_acc: 0.13844086021505375, train_top5: 0.3736559139784946, val_top5: 0.5268817204301075
1th epoch,    train_loss: 2.3567588329315186, val_loss: 2.68155574798584, train_acc: 0.3140681003584229, val_acc: 0.27553763440860213, train_top5: 0.706989247311828, val_top5: 0.6209677419354839
2th epoch,    train_loss: 1.8262583017349243, val_loss: 2.8198471069335938, train_acc: 0.38485663082437277, val_acc: 0.3346774193548387, train_top5: 0.8109318996415771, val_top5: 0.7244623655913979
3th epoch,    train_loss: 1.4186238050460815, val_loss: 3.7453064918518066, train_acc: 0.4543010752688172, val_acc: 0.30510752688172044, train_top5: 0.8732078853046595, val_top5: 0.7365591397849462
4th epoch,    train_loss: 1.4347940683364868, val_loss: 2.216323137283325, train_acc: 0.514336917562724, val_acc: 0.34139784946236557, train_top5: 0.9305555555555556, val_top5: 0.8024193548387096
5th epoch,    train_loss: 1.1975725889205933, val_loss: 1.4810148477554321, train_acc: 0.5698924731182796, val_acc: 0.3736559139784946, train_top5: 0.9650537634408602, val_top5: 0.8306451612903226
6th epoch,    train_loss: 1.5975608825683594, val_loss: 2.897129774093628, train_acc: 0.5954301075268817, val_acc: 0.33602150537634407, train_top5: 0.9699820788530465, val_top5: 0.7943548387096774
7th epoch,    train_loss: 1.244001030921936, val_loss: 1.5994495153427124, train_acc: 0.639336917562724, val_acc: 0.40053763440860213, train_top5: 0.9843189964157706, val_top5: 0.8629032258064516
8th epoch,    train_loss: 0.9899198412895203, val_loss: 1.8330419063568115, train_acc: 0.6877240143369175, val_acc: 0.3655913978494624, train_top5: 0.9946236559139785, val_top5: 0.8400537634408602
9th epoch,    train_loss: 0.4844180643558502, val_loss: 1.2368180751800537, train_acc: 0.7172939068100358, val_acc: 0.3951612903225806, train_top5: 0.9986559139784946, val_top5: 0.8991935483870968
10th epoch,    train_loss: 0.70401930809021, val_loss: 1.3450233936309814, train_acc: 0.7172939068100358, val_acc: 0.3870967741935484, train_top5: 0.9991039426523297, val_top5: 0.8978494623655914
11th epoch,    train_loss: 0.6690111756324768, val_loss: 1.707511305809021, train_acc: 0.7450716845878136, val_acc: 0.37231182795698925, train_top5: 0.9995519713261649, val_top5: 0.8991935483870968
12th epoch,    train_loss: 0.4803740680217743, val_loss: 2.2538833618164062, train_acc: 0.7688172043010753, val_acc: 0.3924731182795699, train_top5: 1.0, val_top5: 0.9059139784946236
13th epoch,    train_loss: 0.39861151576042175, val_loss: 1.592093586921692, train_acc: 0.7697132616487455, val_acc: 0.41263440860215056, train_top5: 1.0, val_top5: 0.9045698924731183
14th epoch,    train_loss: 0.8016522526741028, val_loss: 1.5977363586425781, train_acc: 0.771505376344086, val_acc: 0.3696236559139785, train_top5: 1.0, val_top5: 0.9018817204301075
15th epoch,    train_loss: 0.4582361876964569, val_loss: 1.6555734872817993, train_acc: 0.78584229390681, val_acc: 0.4018817204301075, train_top5: 0.9995519713261649, val_top5: 0.9086021505376344
16th epoch,    train_loss: 0.20934921503067017, val_loss: 1.352550745010376, train_acc: 0.7903225806451613, val_acc: 0.38844086021505375, train_top5: 1.0, val_top5: 0.9005376344086021
17th epoch,    train_loss: 0.3110739290714264, val_loss: 1.39589524269104, train_acc: 0.7840501792114696, val_acc: 0.364247311827957, train_top5: 1.0, val_top5: 0.9112903225806451
18th epoch,    train_loss: 0.5717871785163879, val_loss: 2.6282670497894287, train_acc: 0.8086917562724014, val_acc: 0.3602150537634409, train_top5: 1.0, val_top5: 0.9045698924731183
19th epoch,    train_loss: 0.3556947708129883, val_loss: 1.3327234983444214, train_acc: 0.8015232974910395, val_acc: 0.3629032258064516, train_top5: 1.0, val_top5: 0.9126344086021505
20th epoch,    train_loss: 0.3176862895488739, val_loss: 3.775392770767212, train_acc: 0.803763440860215, val_acc: 0.3655913978494624, train_top5: 1.0, val_top5: 0.9126344086021505
