0th epoch,    train_loss: 2.905183792114258, val_loss: 3.2605764865875244, train_acc: 0.14829749103942652, val_acc: 0.1989247311827957, train_top5: 0.37410394265232977, val_top5: 0.5174731182795699
1th epoch,    train_loss: 3.314962387084961, val_loss: 2.706031560897827, train_acc: 0.28225806451612906, val_acc: 0.2540322580645161, train_top5: 0.6836917562724014, val_top5: 0.5954301075268817
2th epoch,    train_loss: 1.9231449365615845, val_loss: 1.9088987112045288, train_acc: 0.3602150537634409, val_acc: 0.2903225806451613, train_top5: 0.8019713261648745, val_top5: 0.625
3th epoch,    train_loss: 2.194246530532837, val_loss: 3.1963136196136475, train_acc: 0.45026881720430106, val_acc: 0.32661290322580644, train_top5: 0.8629032258064516, val_top5: 0.7311827956989247
4th epoch,    train_loss: 1.4540146589279175, val_loss: 2.0871427059173584, train_acc: 0.4578853046594982, val_acc: 0.3602150537634409, train_top5: 0.8978494623655914, val_top5: 0.7594086021505376
5th epoch,    train_loss: 1.2783817052841187, val_loss: 3.168698787689209, train_acc: 0.5259856630824373, val_acc: 0.3293010752688172, train_top5: 0.9206989247311828, val_top5: 0.717741935483871
6th epoch,    train_loss: 1.4554777145385742, val_loss: 1.9398815631866455, train_acc: 0.5689964157706093, val_acc: 0.4166666666666667, train_top5: 0.953853046594982, val_top5: 0.8145161290322581
7th epoch,    train_loss: 1.0118471384048462, val_loss: 3.4336023330688477, train_acc: 0.6146953405017921, val_acc: 0.3387096774193548, train_top5: 0.9735663082437276, val_top5: 0.7580645161290323
8th epoch,    train_loss: 1.0707684755325317, val_loss: 3.2589075565338135, train_acc: 0.6518817204301075, val_acc: 0.41263440860215056, train_top5: 0.9874551971326165, val_top5: 0.8602150537634409
9th epoch,    train_loss: 1.133854866027832, val_loss: 2.446908712387085, train_acc: 0.6626344086021505, val_acc: 0.4032258064516129, train_top5: 0.9941756272401434, val_top5: 0.8508064516129032
10th epoch,    train_loss: 0.7898969650268555, val_loss: 2.49552059173584, train_acc: 0.7092293906810035, val_acc: 0.4099462365591398, train_top5: 0.996415770609319, val_top5: 0.8830645161290323
11th epoch,    train_loss: 0.5455149412155151, val_loss: 0.9703410863876343, train_acc: 0.71415770609319, val_acc: 0.42338709677419356, train_top5: 0.9991039426523297, val_top5: 0.8844086021505376
12th epoch,    train_loss: 0.7874053120613098, val_loss: 1.6859652996063232, train_acc: 0.7347670250896058, val_acc: 0.40860215053763443, train_top5: 1.0, val_top5: 0.8830645161290323
13th epoch,    train_loss: 0.6679643988609314, val_loss: 1.5499106645584106, train_acc: 0.7517921146953405, val_acc: 0.38844086021505375, train_top5: 0.9986559139784946, val_top5: 0.896505376344086
14th epoch,    train_loss: 0.4632679224014282, val_loss: 2.017094850540161, train_acc: 0.7504480286738351, val_acc: 0.3911290322580645, train_top5: 0.9995519713261649, val_top5: 0.885752688172043
15th epoch,    train_loss: 0.6057303547859192, val_loss: 3.0981926918029785, train_acc: 0.7612007168458781, val_acc: 0.4018817204301075, train_top5: 1.0, val_top5: 0.9005376344086021
16th epoch,    train_loss: 0.4313405454158783, val_loss: 3.0061066150665283, train_acc: 0.7634408602150538, val_acc: 0.3911290322580645, train_top5: 1.0, val_top5: 0.9005376344086021
17th epoch,    train_loss: 0.3665570020675659, val_loss: 1.8028911352157593, train_acc: 0.7732974910394266, val_acc: 0.4112903225806452, train_top5: 0.9995519713261649, val_top5: 0.9018817204301075
18th epoch,    train_loss: 0.5041680335998535, val_loss: 1.3501043319702148, train_acc: 0.7759856630824373, val_acc: 0.39381720430107525, train_top5: 1.0, val_top5: 0.8938172043010753
19th epoch,    train_loss: 0.4682297706604004, val_loss: 3.6247968673706055, train_acc: 0.7697132616487455, val_acc: 0.40591397849462363, train_top5: 1.0, val_top5: 0.8938172043010753
20th epoch,    train_loss: 0.4537310302257538, val_loss: 2.32112717628479, train_acc: 0.7800179211469535, val_acc: 0.3870967741935484, train_top5: 1.0, val_top5: 0.8911290322580645
21th epoch,    train_loss: 0.42005062103271484, val_loss: 2.0673987865448, train_acc: 0.7840501792114696, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.8978494623655914
22th epoch,    train_loss: 0.2624317705631256, val_loss: 3.1707544326782227, train_acc: 0.7925627240143369, val_acc: 0.3897849462365591, train_top5: 1.0, val_top5: 0.8951612903225806
23th epoch,    train_loss: 0.30524128675460815, val_loss: 2.287461996078491, train_acc: 0.785394265232975, val_acc: 0.385752688172043, train_top5: 1.0, val_top5: 0.8951612903225806
24th epoch,    train_loss: 0.5999440550804138, val_loss: 2.342311382293701, train_acc: 0.7871863799283154, val_acc: 0.3911290322580645, train_top5: 1.0, val_top5: 0.9005376344086021
