0th epoch,    train_loss: 3.489689826965332, val_loss: 3.4941365718841553, train_acc: 0.15232974910394265, val_acc: 0.1881720430107527, train_top5: 0.41935483870967744, val_top5: 0.5147849462365591
1th epoch,    train_loss: 2.0179357528686523, val_loss: 3.5347554683685303, train_acc: 0.31765232974910396, val_acc: 0.2849462365591398, train_top5: 0.7163978494623656, val_top5: 0.6344086021505376
2th epoch,    train_loss: 2.1225359439849854, val_loss: 4.685970306396484, train_acc: 0.3817204301075269, val_acc: 0.1935483870967742, train_top5: 0.8033154121863799, val_top5: 0.4905913978494624
3th epoch,    train_loss: 1.8659758567810059, val_loss: 2.738637685775757, train_acc: 0.48028673835125446, val_acc: 0.3481182795698925, train_top5: 0.8839605734767025, val_top5: 0.7311827956989247
4th epoch,    train_loss: 1.5051056146621704, val_loss: 1.7263388633728027, train_acc: 0.5183691756272402, val_acc: 0.3655913978494624, train_top5: 0.9336917562724014, val_top5: 0.7903225806451613
5th epoch,    train_loss: 1.051351547241211, val_loss: 4.309227466583252, train_acc: 0.5627240143369175, val_acc: 0.3588709677419355, train_top5: 0.9502688172043011, val_top5: 0.793010752688172
6th epoch,    train_loss: 0.9253446459770203, val_loss: 2.7718276977539062, train_acc: 0.6241039426523297, val_acc: 0.4314516129032258, train_top5: 0.9811827956989247, val_top5: 0.8561827956989247
7th epoch,    train_loss: 1.0146466493606567, val_loss: 1.9140316247940063, train_acc: 0.6536738351254481, val_acc: 0.41801075268817206, train_top5: 0.9910394265232975, val_top5: 0.8293010752688172
8th epoch,    train_loss: 0.887485682964325, val_loss: 1.274317979812622, train_acc: 0.6904121863799283, val_acc: 0.4314516129032258, train_top5: 0.9955197132616488, val_top5: 0.8709677419354839
9th epoch,    train_loss: 0.6525819301605225, val_loss: 1.895042061805725, train_acc: 0.71415770609319, val_acc: 0.4153225806451613, train_top5: 0.9995519713261649, val_top5: 0.864247311827957
10th epoch,    train_loss: 0.667868435382843, val_loss: 1.6515278816223145, train_acc: 0.732078853046595, val_acc: 0.45026881720430106, train_top5: 0.9995519713261649, val_top5: 0.8991935483870968
11th epoch,    train_loss: 0.6461607813835144, val_loss: 1.7043628692626953, train_acc: 0.7361111111111112, val_acc: 0.40053763440860213, train_top5: 0.9995519713261649, val_top5: 0.885752688172043
12th epoch,    train_loss: 0.35969671607017517, val_loss: 2.7088351249694824, train_acc: 0.7638888888888888, val_acc: 0.4220430107526882, train_top5: 0.9995519713261649, val_top5: 0.8978494623655914
13th epoch,    train_loss: 0.5196090340614319, val_loss: 0.9252123236656189, train_acc: 0.7629928315412187, val_acc: 0.40053763440860213, train_top5: 1.0, val_top5: 0.8978494623655914
14th epoch,    train_loss: 0.4938522279262543, val_loss: 0.8828811645507812, train_acc: 0.7791218637992832, val_acc: 0.40725806451612906, train_top5: 1.0, val_top5: 0.8897849462365591
15th epoch,    train_loss: 0.675950288772583, val_loss: 0.8316887021064758, train_acc: 0.764336917562724, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.8911290322580645
16th epoch,    train_loss: 0.4711505174636841, val_loss: 2.6352784633636475, train_acc: 0.7755376344086021, val_acc: 0.3978494623655914, train_top5: 1.0, val_top5: 0.8938172043010753
17th epoch,    train_loss: 0.6420462131500244, val_loss: 0.8237738013267517, train_acc: 0.7840501792114696, val_acc: 0.3911290322580645, train_top5: 1.0, val_top5: 0.8938172043010753
18th epoch,    train_loss: 0.5510584712028503, val_loss: 1.2272735834121704, train_acc: 0.7876344086021505, val_acc: 0.4018817204301075, train_top5: 1.0, val_top5: 0.8897849462365591
19th epoch,    train_loss: 0.49981287121772766, val_loss: 1.9276865720748901, train_acc: 0.7871863799283154, val_acc: 0.3897849462365591, train_top5: 1.0, val_top5: 0.8938172043010753
20th epoch,    train_loss: 0.43328168988227844, val_loss: 2.1162078380584717, train_acc: 0.7992831541218638, val_acc: 0.3870967741935484, train_top5: 1.0, val_top5: 0.8924731182795699
21th epoch,    train_loss: 0.35556280612945557, val_loss: 2.0860252380371094, train_acc: 0.796146953405018, val_acc: 0.396505376344086, train_top5: 1.0, val_top5: 0.896505376344086
22th epoch,    train_loss: 0.3665882647037506, val_loss: 1.6025631427764893, train_acc: 0.7974910394265233, val_acc: 0.3924731182795699, train_top5: 1.0, val_top5: 0.8991935483870968
23th epoch,    train_loss: 0.5636590123176575, val_loss: 1.7723298072814941, train_acc: 0.8015232974910395, val_acc: 0.3897849462365591, train_top5: 1.0, val_top5: 0.896505376344086
24th epoch,    train_loss: 0.43026089668273926, val_loss: 2.3711369037628174, train_acc: 0.8118279569892473, val_acc: 0.38306451612903225, train_top5: 1.0, val_top5: 0.8991935483870968
25th epoch,    train_loss: 0.40695881843566895, val_loss: 1.1820005178451538, train_acc: 0.8118279569892473, val_acc: 0.3803763440860215, train_top5: 1.0, val_top5: 0.8951612903225806
26th epoch,    train_loss: 0.24980247020721436, val_loss: 1.8214480876922607, train_acc: 0.807347670250896, val_acc: 0.3870967741935484, train_top5: 1.0, val_top5: 0.8978494623655914
27th epoch,    train_loss: 0.3579278290271759, val_loss: 2.200641632080078, train_acc: 0.8055555555555556, val_acc: 0.3817204301075269, train_top5: 1.0, val_top5: 0.8978494623655914
28th epoch,    train_loss: 0.397068053483963, val_loss: 1.590384602546692, train_acc: 0.8118279569892473, val_acc: 0.38306451612903225, train_top5: 1.0, val_top5: 0.8924731182795699
29th epoch,    train_loss: 0.3116711974143982, val_loss: 1.933892846107483, train_acc: 0.8082437275985663, val_acc: 0.38844086021505375, train_top5: 1.0, val_top5: 0.8938172043010753
30th epoch,    train_loss: 0.38533148169517517, val_loss: 2.7623302936553955, train_acc: 0.8145161290322581, val_acc: 0.3870967741935484, train_top5: 1.0, val_top5: 0.8978494623655914
31th epoch,    train_loss: 0.40480682253837585, val_loss: 1.7250843048095703, train_acc: 0.8203405017921147, val_acc: 0.38844086021505375, train_top5: 1.0, val_top5: 0.8938172043010753
